Tarih,TP AKONUTSAT3 TOPLAM,TP AKONUTSAT3 T1,TP AKONUTSAT3 T2,TP AKONUTSAT3 K3,TP AKONUTSAT3 T4,TP AKONUTSAT3 T5,TP AKONUTSAT3 T6,TP AKONUTSAT3 T7,TP AKONUTSAT3 T8,TP AKONUTSAT3 T9,TP AKONUTSAT3 T10,TP AKONUTSAT3 T11,TP AKONUTSAT3 T12,TP AKONUTSAT3 T13,TP AKONUTSAT3 T14,TP AKONUTSAT3 T15,TP AKONUTSAT3 T16,TP AKONUTSAT3 T17,TP AKONUTSAT3 T18,TP AKONUTSAT3 T19,TP AKONUTSAT3 T20,TP AKONUTSAT3 T21,TP AKONUTSAT3 T22,TP AKONUTSAT3 T23,TP AKONUTSAT3 T24,TP AKONUTSAT3 T25,TP AKONUTSAT3 T26,TP AKONUTSAT3 T27,TP AKONUTSAT3 T28,TP AKONUTSAT3 T29,TP AKONUTSAT3 T30,TP AKONUTSAT3 T31,TP AKONUTSAT3 T32,TP AKONUTSAT3 T33,TP AKONUTSAT3 T34,TP AKONUTSAT3 T35,TP AKONUTSAT3 T36,TP AKONUTSAT3 T37,TP AKONUTSAT3 T38,TP AKONUTSAT3 T39,TP AKONUTSAT3 T40,TP AKONUTSAT3 T41,TP AKONUTSAT3 T42,TP AKONUTSAT3 T43,TP AKONUTSAT3 T44,TP AKONUTSAT3 T45,TP AKONUTSAT3 T46,TP AKONUTSAT3 T47,TP AKONUTSAT3 T48,TP AKONUTSAT3 T49,TP AKONUTSAT3 T50,TP AKONUTSAT3 T51,TP AKONUTSAT3 T52,TP AKONUTSAT3 T53,TP AKONUTSAT3 T54,TP AKONUTSAT3 T55,TP AKONUTSAT3 T56,TP AKONUTSAT3 T57,TP AKONUTSAT3 T58,TP AKONUTSAT3 T59,TP AKONUTSAT3 T60,TP AKONUTSAT3 T61,TP AKONUTSAT3 T62,TP AKONUTSAT3 T63,TP AKONUTSAT3 T64,TP AKONUTSAT3 T65,TP AKONUTSAT3 T66,TP AKONUTSAT3 T67,TP AKONUTSAT3 T68,TP AKONUTSAT3 T69,TP AKONUTSAT3 T70,TP AKONUTSAT3 T71,TP AKONUTSAT3 T72,TP AKONUTSAT3 T73,TP AKONUTSAT3 T74,TP AKONUTSAT3 T75,TP AKONUTSAT3 T76,TP AKONUTSAT3 T77,TP AKONUTSAT3 T78,TP AKONUTSAT3 T79,TP AKONUTSAT3 T80,TP AKONUTSAT3 T81,TP AKONUTSAT4 TOPLAM,TP AKONUTSAT4 T1,TP AKONUTSAT4 T2,TP AKONUTSAT4 T3,TP AKONUTSAT4 K4,TP AKONUTSAT4 T5,TP AKONUTSAT4 T6,TP AKONUTSAT4 T7,TP AKONUTSAT4 T8,TP AKONUTSAT4 T9,TP AKONUTSAT4 T10,TP AKONUTSAT4 T11,TP AKONUTSAT4 T12,TP AKONUTSAT4 T13,TP AKONUTSAT4 T14,TP AKONUTSAT4 T15,TP AKONUTSAT4 T16,TP AKONUTSAT4 T17,TP AKONUTSAT4 T18,TP AKONUTSAT4 T19,TP AKONUTSAT4 T20,TP AKONUTSAT4 T21,TP AKONUTSAT4 T22,TP AKONUTSAT4 T23,TP AKONUTSAT4 T24,TP AKONUTSAT4 T25,TP AKONUTSAT4 T26,TP AKONUTSAT4 T27,TP AKONUTSAT4 T28,TP AKONUTSAT4 T29,TP AKONUTSAT4 T30,TP AKONUTSAT4 T31,TP AKONUTSAT4 T32,TP AKONUTSAT4 T33,TP AKONUTSAT4 T34,TP AKONUTSAT4 T35,TP AKONUTSAT4 T36,TP AKONUTSAT4 T37,TP AKONUTSAT4 T38,TP AKONUTSAT4 T39,TP AKONUTSAT4 T40,TP AKONUTSAT4 T41,TP AKONUTSAT4 T42,TP AKONUTSAT4 T43,TP AKONUTSAT4 T44,TP AKONUTSAT4 T45,TP AKONUTSAT4 T46,TP AKONUTSAT4 T47,TP AKONUTSAT4 T48,TP AKONUTSAT4 T49,TP AKONUTSAT4 T50,TP AKONUTSAT4 T51,TP AKONUTSAT4 T52,TP AKONUTSAT4 T53,TP AKONUTSAT4 T54,TP AKONUTSAT4 T55,TP AKONUTSAT4 T56,TP AKONUTSAT4 T57,TP AKONUTSAT4 T58,TP AKONUTSAT4 T59,TP AKONUTSAT4 T60,TP AKONUTSAT4 T61,TP AKONUTSAT4 T62,TP AKONUTSAT4 T63,TP AKONUTSAT4 T64,TP AKONUTSAT4 T65,TP AKONUTSAT4 T66,TP AKONUTSAT4 T67,TP AKONUTSAT4 T68,TP AKONUTSAT4 T69,TP AKONUTSAT4 T70,TP AKONUTSAT4 T71,TP AKONUTSAT4 T72,TP AKONUTSAT4 T73,TP AKONUTSAT4 T74,TP AKONUTSAT4 T75,TP AKONUTSAT4 T76,TP AKONUTSAT4 T77,TP AKONUTSAT4 T78,TP AKONUTSAT4 T79,TP AKONUTSAT4 T80,TP AKONUTSAT4 T81
2013-01,"39,163.00",591.00,109.00,175.00,71.00,158.00,114.00,"4,278.00","2,101.00",5.00,49.00,651.00,639.00,62.00,111.00,5.00,149.00,5.00,44.00,169.00,48.00,"1,568.00",354.00,55.00,319.00,438.00,555.00,130.00,278.00,309.00,91.00,222.00,988.00,758.00,211.00,29.00,2.00,553.00,44.00,116.00,"8,298.00","2,189.00",312.00,78.00,78.00,40.00,175.00,811.00,190.00,174.00,155.00,46.00,"1,068.00",820.00,362.00,364.00,526.00,202.00,902.00,389.00,14.00,55.00,147.00,430.00,226.00,118.00,538.00,825.00,61.00,61.00,166.00,449.00,43.00,"1,102.00",132.00,401.00,36.00,67.00,87.00,217.00,81.00,174.00,"48,281.00",957.00,152.00,300.00,34.00,171.00,131.00,"6,937.00","2,755.00",,50.00,"1,068.00",793.00,48.00,43.00,6.00,103.00,7.00,24.00,122.00,60.00,"1,669.00",360.00,80.00,349.00,584.00,439.00,134.00,209.00,301.00,55.00,282.00,637.00,791.00,166.00,12.00,1.00,522.00,23.00,162.00,"9,937.00","3,401.00",309.00,73.00,94.00,40.00,136.00,"1,291.00",186.00,196.00,162.00,37.00,"1,376.00","1,089.00",256.00,379.00,689.00,82.00,"1,448.00",660.00,30.00,259.00,202.00,310.00,152.00,125.00,662.00,675.00,31.00,87.00,209.00,447.00,11.00,"1,086.00",176.00,414.00,25.00,88.00,72.00,521.00,137.00,184.00
2013-02,"39,521.00",691.00,197.00,163.00,181.00,113.00,174.00,"4,292.00","1,896.00",3.00,50.00,636.00,693.00,59.00,132.00,13.00,123.00,11.00,52.00,198.00,62.00,"1,547.00",368.00,27.00,238.00,437.00,574.00,120.00,247.00,306.00,53.00,125.00,888.00,762.00,170.00,13.00,1.00,574.00,24.00,123.00,"8,277.00","2,225.00",309.00,80.00,77.00,27.00,224.00,751.00,111.00,166.00,158.00,60.00,932.00,"1,728.00",259.00,389.00,535.00,282.00,"1,037.00",420.00,5.00,57.00,151.00,364.00,167.00,128.00,561.00,728.00,79.00,81.00,140.00,454.00,33.00,967.00,165.00,387.00,27.00,75.00,107.00,174.00,81.00,207.00,"48,998.00",976.00,224.00,343.00,17.00,156.00,116.00,"6,989.00","2,733.00",,65.00,"1,042.00",821.00,49.00,59.00,4.00,87.00,10.00,16.00,115.00,64.00,"1,564.00",287.00,93.00,333.00,536.00,521.00,126.00,221.00,336.00,65.00,284.00,654.00,753.00,191.00,20.00,4.00,591.00,19.00,144.00,"10,694.00","3,435.00",314.00,93.00,78.00,31.00,147.00,"1,254.00",295.00,252.00,148.00,44.00,"1,191.00",991.00,195.00,384.00,729.00,132.00,"1,491.00",743.00,34.00,164.00,210.00,299.00,143.00,116.00,643.00,691.00,41.00,100.00,213.00,435.00,6.00,"1,081.00",162.00,385.00,16.00,93.00,89.00,457.00,140.00,211.00
2013-03,"43,052.00",705.00,130.00,203.00,64.00,166.00,171.00,"4,346.00","2,374.00",6.00,46.00,991.00,751.00,74.00,94.00,7.00,197.00,6.00,59.00,223.00,85.00,"1,631.00",417.00,56.00,281.00,444.00,711.00,113.00,373.00,270.00,73.00,118.00,"1,022.00",852.00,170.00,14.00,,636.00,27.00,118.00,"9,542.00","2,461.00",343.00,91.00,82.00,33.00,170.00,802.00,591.00,220.00,91.00,59.00,"1,113.00",897.00,277.00,422.00,533.00,150.00,"1,073.00",478.00,6.00,56.00,177.00,384.00,228.00,138.00,554.00,721.00,48.00,91.00,151.00,510.00,11.00,"1,020.00",194.00,478.00,33.00,96.00,219.00,210.00,73.00,202.00,"54,904.00","1,121.00",180.00,360.00,30.00,135.00,145.00,"7,945.00","3,120.00",4.00,61.00,"1,250.00",984.00,59.00,71.00,2.00,102.00,18.00,36.00,147.00,59.00,"1,783.00",345.00,67.00,427.00,565.00,567.00,138.00,275.00,342.00,72.00,282.00,686.00,882.00,204.00,23.00,1.00,611.00,35.00,197.00,"12,028.00","3,890.00",324.00,138.00,115.00,42.00,143.00,"1,285.00",239.00,190.00,124.00,51.00,"1,308.00","1,175.00",251.00,457.00,808.00,94.00,"1,656.00",819.00,21.00,228.00,201.00,330.00,143.00,124.00,727.00,704.00,52.00,118.00,214.00,435.00,6.00,"1,361.00",201.00,387.00,22.00,105.00,87.00,544.00,178.00,248.00
2013-04,"41,233.00",746.00,115.00,184.00,36.00,170.00,153.00,"4,376.00","2,188.00",8.00,59.00,793.00,847.00,74.00,159.00,5.00,135.00,6.00,36.00,220.00,77.00,"1,637.00",416.00,55.00,307.00,383.00,654.00,123.00,263.00,438.00,63.00,145.00,976.00,740.00,180.00,27.00,5.00,666.00,14.00,103.00,"8,751.00","2,331.00",336.00,112.00,86.00,60.00,154.00,650.00,193.00,247.00,80.00,73.00,"1,093.00",875.00,350.00,554.00,545.00,176.00,948.00,443.00,1.00,68.00,147.00,362.00,237.00,132.00,750.00,735.00,64.00,98.00,139.00,515.00,25.00,"1,101.00",142.00,308.00,16.00,104.00,142.00,218.00,94.00,196.00,"54,148.00","1,129.00",166.00,274.00,128.00,145.00,149.00,"7,513.00","2,875.00",5.00,52.00,"1,173.00","1,034.00",73.00,78.00,2.00,101.00,8.00,25.00,164.00,87.00,"1,860.00",429.00,82.00,335.00,490.00,548.00,133.00,290.00,463.00,76.00,251.00,682.00,910.00,179.00,28.00,2.00,609.00,30.00,167.00,"12,040.00","3,931.00",382.00,113.00,100.00,34.00,166.00,"1,358.00",174.00,191.00,146.00,56.00,"1,216.00","1,153.00",228.00,420.00,795.00,98.00,"1,671.00",812.00,39.00,154.00,233.00,284.00,158.00,104.00,793.00,732.00,55.00,88.00,224.00,456.00,6.00,"1,256.00",194.00,369.00,20.00,117.00,129.00,549.00,140.00,219.00
2013-05,"46,049.00",699.00,135.00,251.00,79.00,238.00,212.00,"4,614.00","2,535.00",13.00,76.00,770.00,858.00,82.00,192.00,9.00,251.00,5.00,74.00,284.00,82.00,"1,680.00",518.00,62.00,291.00,571.00,774.00,145.00,342.00,270.00,88.00,174.00,"1,081.00",901.00,239.00,24.00,2.00,659.00,19.00,170.00,"9,371.00","2,514.00",421.00,122.00,88.00,70.00,239.00,743.00,292.00,262.00,127.00,168.00,"1,272.00",995.00,340.00,493.00,584.00,197.00,"1,102.00",451.00,3.00,65.00,149.00,373.00,274.00,128.00,701.00,933.00,93.00,104.00,212.00,578.00,6.00,"1,265.00",148.00,684.00,78.00,127.00,175.00,296.00,151.00,186.00,"57,212.00","1,242.00",191.00,298.00,62.00,162.00,152.00,"8,024.00","3,094.00",2.00,43.00,"1,296.00","1,092.00",60.00,84.00,10.00,100.00,11.00,48.00,151.00,68.00,"1,840.00",403.00,77.00,378.00,549.00,551.00,195.00,258.00,418.00,84.00,305.00,756.00,991.00,208.00,28.00,1.00,579.00,26.00,193.00,"12,659.00","4,021.00",361.00,126.00,106.00,37.00,167.00,"1,339.00",187.00,231.00,155.00,67.00,"1,452.00","1,285.00",252.00,433.00,763.00,97.00,"1,754.00",855.00,39.00,182.00,260.00,321.00,142.00,105.00,687.00,751.00,46.00,87.00,217.00,503.00,8.00,"1,565.00",194.00,432.00,24.00,122.00,109.00,606.00,181.00,254.00
2013-06,"43,345.00",777.00,145.00,202.00,61.00,199.00,215.00,"4,468.00","1,883.00",13.00,88.00,667.00,804.00,64.00,169.00,22.00,168.00,9.00,44.00,272.00,97.00,"1,574.00",343.00,88.00,326.00,422.00,703.00,164.00,299.00,298.00,90.00,297.00,984.00,988.00,232.00,23.00,3.00,582.00,32.00,123.00,"8,160.00","2,599.00",418.00,128.00,94.00,67.00,272.00,847.00,219.00,248.00,160.00,117.00,"1,146.00","1,150.00",361.00,441.00,610.00,160.00,"1,217.00",483.00,7.00,77.00,140.00,461.00,228.00,139.00,820.00,909.00,51.00,115.00,215.00,533.00,13.00,"1,175.00",169.00,526.00,102.00,137.00,128.00,238.00,140.00,187.00,"53,079.00","1,210.00",201.00,252.00,51.00,157.00,141.00,"7,224.00","2,698.00",4.00,57.00,"1,104.00","1,070.00",55.00,66.00,14.00,104.00,27.00,37.00,166.00,85.00,"1,892.00",409.00,72.00,366.00,696.00,519.00,169.00,306.00,351.00,91.00,278.00,689.00,937.00,198.00,18.00,1.00,566.00,26.00,181.00,"11,197.00","3,780.00",382.00,107.00,103.00,62.00,174.00,"1,272.00",199.00,216.00,142.00,75.00,"1,286.00","1,136.00",257.00,409.00,719.00,104.00,"1,812.00",763.00,39.00,175.00,214.00,271.00,182.00,91.00,689.00,807.00,48.00,82.00,236.00,521.00,8.00,"1,363.00",182.00,380.00,54.00,125.00,72.00,498.00,119.00,240.00
2013-07,"49,224.00",781.00,182.00,206.00,80.00,247.00,277.00,"4,969.00","2,133.00",12.00,86.00,971.00,930.00,63.00,146.00,34.00,236.00,14.00,43.00,214.00,94.00,"1,851.00",549.00,108.00,295.00,599.00,707.00,165.00,327.00,336.00,121.00,315.00,"1,207.00","1,216.00",227.00,41.00,3.00,760.00,35.00,161.00,"9,034.00","2,931.00",529.00,175.00,120.00,79.00,251.00,"1,047.00",199.00,316.00,260.00,83.00,"1,420.00","1,287.00",484.00,521.00,659.00,192.00,"1,199.00",510.00,6.00,59.00,156.00,458.00,295.00,135.00,928.00,992.00,81.00,143.00,259.00,526.00,11.00,"1,311.00",193.00,548.00,165.00,152.00,113.00,260.00,149.00,247.00,"57,412.00","1,205.00",222.00,357.00,50.00,154.00,186.00,"7,459.00","3,069.00",5.00,64.00,"1,418.00","1,194.00",95.00,96.00,9.00,129.00,12.00,145.00,148.00,70.00,"2,077.00",465.00,70.00,369.00,690.00,529.00,164.00,326.00,387.00,89.00,311.00,840.00,928.00,224.00,33.00,1.00,707.00,27.00,186.00,"11,634.00","4,079.00",437.00,114.00,124.00,53.00,137.00,"1,438.00",193.00,230.00,148.00,71.00,"1,371.00","1,292.00",271.00,496.00,759.00,105.00,"2,001.00",971.00,27.00,181.00,264.00,236.00,153.00,92.00,783.00,774.00,41.00,92.00,256.00,512.00,8.00,"1,626.00",213.00,385.00,57.00,116.00,93.00,616.00,179.00,274.00
2013-08,"38,817.00",549.00,162.00,209.00,79.00,220.00,181.00,"3,773.00","1,609.00",34.00,69.00,690.00,761.00,66.00,142.00,28.00,106.00,6.00,35.00,251.00,63.00,"1,412.00",446.00,95.00,303.00,475.00,484.00,151.00,243.00,285.00,119.00,222.00,"1,156.00",728.00,174.00,55.00,3.00,615.00,52.00,127.00,"6,960.00","2,001.00",477.00,151.00,117.00,64.00,277.00,"1,084.00",308.00,228.00,216.00,118.00,"1,054.00","1,012.00",311.00,461.00,474.00,196.00,919.00,536.00,12.00,64.00,193.00,339.00,228.00,114.00,788.00,655.00,75.00,141.00,245.00,372.00,5.00,878.00,206.00,424.00,165.00,105.00,110.00,186.00,178.00,192.00,"45,663.00",877.00,190.00,263.00,39.00,227.00,149.00,"5,863.00","2,248.00",2.00,58.00,"1,341.00","1,134.00",72.00,49.00,10.00,94.00,20.00,44.00,130.00,63.00,"1,462.00",422.00,62.00,341.00,513.00,395.00,142.00,284.00,383.00,66.00,216.00,605.00,831.00,178.00,27.00,4.00,611.00,28.00,193.00,"7,970.00","2,960.00",373.00,104.00,122.00,49.00,164.00,"1,390.00",273.00,198.00,171.00,52.00,989.00,"1,184.00",245.00,441.00,608.00,105.00,"1,495.00",956.00,37.00,195.00,269.00,240.00,159.00,109.00,706.00,665.00,35.00,115.00,218.00,361.00,4.00,"1,185.00",181.00,350.00,56.00,160.00,85.00,617.00,182.00,249.00
2013-09,"46,778.00",637.00,188.00,220.00,81.00,286.00,197.00,"5,039.00","2,093.00",15.00,114.00,851.00,888.00,64.00,200.00,22.00,181.00,11.00,48.00,263.00,80.00,"1,591.00",609.00,120.00,363.00,512.00,600.00,156.00,357.00,402.00,151.00,325.00,"1,300.00",991.00,237.00,52.00,13.00,706.00,40.00,208.00,"8,128.00","2,211.00",590.00,167.00,92.00,81.00,239.00,899.00,240.00,305.00,341.00,110.00,"1,131.00","1,194.00",384.00,608.00,646.00,244.00,"1,069.00",708.00,9.00,40.00,156.00,444.00,262.00,101.00,892.00,820.00,126.00,114.00,278.00,655.00,120.00,"1,214.00",226.00,592.00,117.00,165.00,218.00,232.00,196.00,203.00,"55,502.00",987.00,234.00,316.00,45.00,233.00,146.00,"7,167.00","2,737.00",8.00,58.00,"1,444.00","1,213.00",81.00,118.00,13.00,143.00,29.00,37.00,143.00,71.00,"1,805.00",494.00,75.00,401.00,638.00,587.00,172.00,381.00,427.00,83.00,279.00,759.00,971.00,201.00,29.00,,668.00,33.00,198.00,"10,386.00","3,758.00",457.00,132.00,117.00,36.00,198.00,"1,647.00",218.00,242.00,161.00,71.00,"1,265.00","1,451.00",281.00,561.00,735.00,112.00,"1,796.00","1,076.00",47.00,221.00,259.00,297.00,155.00,121.00,900.00,781.00,62.00,108.00,275.00,562.00,17.00,"1,555.00",217.00,435.00,53.00,136.00,93.00,624.00,179.00,281.00
2013-10,"35,363.00",459.00,140.00,230.00,79.00,148.00,127.00,"3,370.00","1,656.00",9.00,75.00,631.00,586.00,48.00,156.00,28.00,123.00,12.00,114.00,216.00,61.00,"1,160.00",314.00,89.00,479.00,369.00,503.00,107.00,286.00,334.00,113.00,209.00,836.00,779.00,213.00,58.00,2.00,452.00,40.00,122.00,"6,737.00","1,752.00",443.00,114.00,82.00,83.00,207.00,829.00,150.00,235.00,132.00,94.00,943.00,916.00,292.00,490.00,425.00,146.00,"1,081.00",380.00,6.00,49.00,104.00,338.00,197.00,82.00,587.00,653.00,75.00,76.00,219.00,440.00,17.00,825.00,164.00,393.00,107.00,113.00,143.00,206.00,147.00,158.00,"40,981.00",773.00,145.00,260.00,24.00,151.00,115.00,"4,861.00","2,210.00",1.00,57.00,"1,021.00",854.00,56.00,57.00,17.00,68.00,30.00,27.00,94.00,49.00,"1,487.00",297.00,73.00,294.00,401.00,456.00,149.00,405.00,342.00,69.00,219.00,514.00,740.00,185.00,22.00,2.00,492.00,24.00,116.00,"8,129.00","2,847.00",300.00,106.00,77.00,26.00,125.00,"1,086.00",159.00,213.00,140.00,67.00,931.00,958.00,235.00,356.00,518.00,113.00,"1,328.00",751.00,45.00,165.00,177.00,275.00,104.00,90.00,593.00,596.00,48.00,78.00,189.00,396.00,7.00,"1,043.00",189.00,318.00,21.00,100.00,79.00,536.00,126.00,184.00
2013-11,"48,255.00",689.00,213.00,190.00,90.00,235.00,216.00,"4,796.00","2,301.00",12.00,139.00,744.00,825.00,77.00,258.00,46.00,215.00,6.00,52.00,355.00,79.00,"1,809.00",372.00,132.00,364.00,482.00,743.00,112.00,350.00,390.00,172.00,438.00,"1,065.00","1,237.00",234.00,30.00,5.00,797.00,57.00,109.00,"9,477.00","2,505.00",583.00,94.00,99.00,98.00,258.00,"1,145.00",190.00,299.00,232.00,120.00,"1,077.00","1,212.00",364.00,513.00,601.00,232.00,932.00,431.00,12.00,73.00,342.00,455.00,245.00,180.00,696.00,788.00,96.00,114.00,346.00,663.00,384.00,"1,095.00",192.00,507.00,119.00,131.00,176.00,248.00,317.00,178.00,"54,426.00","1,072.00",169.00,336.00,46.00,174.00,167.00,"7,185.00","3,115.00",1.00,75.00,"1,265.00","1,095.00",49.00,85.00,15.00,128.00,17.00,38.00,219.00,56.00,"1,885.00",385.00,129.00,363.00,569.00,518.00,158.00,296.00,443.00,86.00,233.00,732.00,867.00,210.00,24.00,1.00,694.00,29.00,175.00,"11,458.00","3,697.00",332.00,140.00,90.00,33.00,194.00,"1,533.00",188.00,183.00,170.00,75.00,"1,296.00","1,221.00",339.00,447.00,695.00,114.00,"1,568.00",863.00,24.00,165.00,205.00,357.00,124.00,114.00,723.00,768.00,38.00,97.00,210.00,509.00,52.00,"1,385.00",165.00,449.00,47.00,99.00,107.00,596.00,201.00,251.00
